Category,City,Country,Customer ID,Customer Name,Discount (bin),Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Sales Period,Segment,Ship Date,Ship Mode,State,Sub-Category,Year-Month,Discount,Profit,Quantity,Sales,Year
Office Supplies,San Francisco,United States,KC-16255,Karen Carlisle,0.00,20-06-2013,CA-2013-105760,94110,OFF-PA-10000350,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,941,1,Corporate,21-06-2013,First Class,California,Paper,01-06-2013,0,8.0464,2,17.12,2013
Office Supplies,Torrance,United States,RW-19630,Rob Williams,0.20,14-12-2013,CA-2013-142958,90503,OFF-BI-10001759,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",West,942,1,Corporate,21-12-2013,Standard Class,California,Binders,01-12-2013,0.2,2.2098,2,6.096,2013
Furniture,Torrance,United States,RW-19630,Rob Williams,0.20,14-12-2013,CA-2013-142958,90503,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,943,1,Corporate,21-12-2013,Standard Class,California,Tables,01-12-2013,0.2,41.7852,4,1114.272,2013
Office Supplies,Seattle,United States,JL-15850,John Lucas,0.00,29-05-2012,CA-2012-120880,98105,OFF-PA-10004101,Xerox 1894,West,944,1,Consumer,03-06-2012,Standard Class,Washington,Paper,01-05-2012,0,15.552,5,32.4,2012
Office Supplies,Seattle,United States,JL-15850,John Lucas,0.00,29-05-2012,CA-2012-120880,98105,OFF-ST-10001496,Standard Rollaway File with Lock,West,945,1,Consumer,03-06-2012,Standard Class,Washington,Storage,01-05-2012,0,140.5482,3,540.57,2012
Office Supplies,Seattle,United States,JL-15850,John Lucas,0.20,29-05-2012,CA-2012-120880,98105,OFF-BI-10002931,"Avery Trapezoid Extra Heavy Duty 4"" Binders",West,946,1,Consumer,03-06-2012,Standard Class,Washington,Binders,01-05-2012,0.2,62.91,5,167.76,2012
Furniture,Mesa,United States,CA-12775,Cynthia Arntzen,0.50,26-07-2012,US-2012-140200,85204,FUR-TA-10002356,Bevis Boat-Shaped Conference Table,West,947,1,Consumer,28-07-2012,First Class,Arizona,Tables,01-07-2012,0.5,-204.4458,3,393.165,2012
Technology,Phoenix,United States,JA-15970,Joseph Airdo,0.20,16-05-2014,CA-2014-102414,85023,TEC-PH-10002923,"Logitech B530 USB Headset - headset - Full size, Binaural",West,957,1,Consumer,19-05-2014,Second Class,Arizona,Phones,01-05-2014,0.2,2.5893,1,29.592,2014
Office Supplies,Phoenix,United States,JA-15970,Joseph Airdo,0.65,16-05-2014,CA-2014-102414,85023,OFF-BI-10004465,Avery Durable Slant Ring Binders,West,958,1,Consumer,19-05-2014,Second Class,Arizona,Binders,01-05-2014,0.7,-3.168,2,4.752,2014
Office Supplies,Phoenix,United States,JA-15970,Joseph Airdo,0.20,16-05-2014,CA-2014-102414,85023,OFF-PA-10002333,"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",West,959,1,Consumer,19-05-2014,Second Class,Arizona,Paper,01-05-2014,0.2,5.6376,3,15.552,2014
Furniture,Oceanside,United States,DL-12925,Daniel Lacy,0.00,22-09-2012,CA-2012-112571,92054,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,West,960,1,Consumer,22-09-2012,Same Day,California,Furnishings,01-09-2012,0,53.196,2,204.6,2012
Furniture,San Francisco,United States,LW-16990,Lindsay Williams,0.20,15-11-2014,CA-2014-152142,94110,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",West,961,1,Corporate,20-11-2014,Standard Class,California,Chairs,01-11-2014,0.2,28.1372,2,321.568,2014
Office Supplies,San Francisco,United States,CV-12805,Cynthia Voltz,0.00,02-09-2013,CA-2013-120859,94110,OFF-EN-10001335,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",West,963,1,Corporate,05-09-2013,First Class,California,Envelopes,01-09-2013,0,10.94,2,21.88,2013
Office Supplies,Portland,United States,TD-20995,Tamara Dahlen,0.65,10-07-2014,US-2014-100209,97206,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,West,977,1,Consumer,16-07-2014,Standard Class,Oregon,Binders,01-07-2014,0.7,-0.792,2,1.08,2014
Office Supplies,Louisville,United States,TZ-21580,Tracy Zic,0.20,11-11-2011,CA-2011-163419,80027,OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",West,982,1,Consumer,14-11-2011,Second Class,Colorado,Art,01-11-2011,0.2,0.8056,1,3.392,2011
Technology,Louisville,United States,TZ-21580,Tracy Zic,0.20,11-11-2011,CA-2011-163419,80027,TEC-PH-10000560,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),West,983,1,Consumer,14-11-2011,Second Class,Colorado,Phones,01-11-2011,0.2,55.9984,2,559.984,2011
Furniture,Louisville,United States,TZ-21580,Tracy Zic,0.20,11-11-2011,CA-2011-163419,80027,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",West,984,1,Consumer,14-11-2011,Second Class,Colorado,Chairs,01-11-2011,0.2,75.49,5,603.92,2011
Office Supplies,San Jose,United States,RF-19735,Roland Fjeld,0.00,27-08-2013,CA-2013-105585,95123,OFF-FA-10002983,Advantus SlideClip Paper Clips,West,993,1,Consumer,28-08-2013,First Class,California,Fasteners,01-08-2013,0,4.9104,3,10.23,2013
Office Supplies,San Jose,United States,RF-19735,Roland Fjeld,0.00,27-08-2013,CA-2013-105585,95123,OFF-PA-10003625,Xerox 1979,West,994,1,Consumer,28-08-2013,First Class,California,Paper,01-08-2013,0,69.705,5,154.9,2013
Office Supplies,Vancouver,United States,FM-14290,Frank Merwin,0.00,14-11-2013,CA-2013-155488,98661,OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,West,1001,1,Home Office,18-11-2013,Standard Class,Washington,Art,01-11-2013,0,11.4452,2,44.02,2013
Office Supplies,Murrieta,United States,RA-19945,Ryan Akin,0.00,27-08-2012,CA-2012-126445,92563,OFF-ST-10000046,Fellowes Super Stor/Drawer Files,West,1005,1,Consumer,31-08-2012,Standard Class,California,Storage,01-08-2012,0,92.0835,3,484.65,2012
Office Supplies,Scottsdale,United States,MT-17815,Meg Tillman,0.20,06-11-2012,CA-2012-105312,85254,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",West,1007,1,Consumer,09-11-2012,First Class,Arizona,Envelopes,01-11-2012,0.2,2.478,3,7.08,2012
Office Supplies,Scottsdale,United States,MT-17815,Meg Tillman,0.65,06-11-2012,CA-2012-105312,85254,OFF-BI-10002049,UniKeep View Case Binders,West,1008,1,Consumer,09-11-2012,First Class,Arizona,Binders,01-11-2012,0.7,-3.5208,3,4.401,2012
Furniture,San Diego,United States,VG-21790,Vivek Gonzalez,0.00,24-11-2011,CA-2011-158540,92037,FUR-FU-10001602,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",West,1011,1,Consumer,26-11-2011,First Class,California,Furnishings,01-11-2011,0,27.3096,4,151.72,2011
Furniture,Olympia,United States,PF-19165,Philip Fox,0.00,18-06-2014,CA-2014-118437,98502,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",West,1012,1,Consumer,22-06-2014,Second Class,Washington,Furnishings,01-06-2014,0,46.575,3,155.25,2014
Office Supplies,Olympia,United States,PF-19165,Philip Fox,0.00,18-06-2014,CA-2014-118437,98502,OFF-ST-10003722,Project Tote Personal File,West,1013,1,Consumer,22-06-2014,Second Class,Washington,Storage,01-06-2014,0,4.0687,1,14.03,2014
Furniture,Seattle,United States,JS-15880,John Stevenson,0.00,21-12-2012,US-2012-126214,98103,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,West,1014,1,Consumer,24-12-2012,Second Class,Washington,Tables,01-12-2012,0,356.0414,13,1618.37,2012
Technology,Seattle,United States,JS-15880,John Stevenson,0.00,21-12-2012,US-2012-126214,98103,TEC-AC-10003198,Enermax Acrylux Wireless Keyboard,West,1015,1,Consumer,24-12-2012,Second Class,Washington,Accessories,01-12-2012,0,36.852,1,99.6,2012
Office Supplies,Los Angeles,United States,MO-17800,Meg O'Connel,0.00,17-09-2012,CA-2012-133025,90036,OFF-PA-10004100,Xerox 216,West,1016,1,Home Office,19-09-2012,Second Class,California,Paper,01-09-2012,0,15.552,5,32.4,2012
Office Supplies,Los Angeles,United States,HR-14770,Hallie Redmond,0.20,18-12-2014,CA-2014-106964,90045,OFF-BI-10000320,GBC Plastic Binding Combs,West,1025,1,Home Office,21-12-2014,First Class,California,Binders,01-12-2014,0.2,4.2804,2,11.808,2014
Office Supplies,Los Angeles,United States,JJ-15445,Jennifer Jackson,0.20,13-06-2012,CA-2012-127418,90004,OFF-BI-10003707,Aluminum Screw Posts,West,1038,1,Consumer,14-06-2012,First Class,California,Binders,01-06-2012,0.2,13.734,3,36.624,2012
Technology,San Francisco,United States,LC-16885,Lena Creighton,0.20,27-05-2011,CA-2011-139192,94109,TEC-PH-10000486,Plantronics HL10 Handset Lifter,West,1049,1,Consumer,01-06-2011,Second Class,California,Phones,01-05-2011,0.2,125.2692,12,1113.504,2011
Technology,San Francisco,United States,LC-16885,Lena Creighton,0.00,27-05-2011,CA-2011-139192,94109,TEC-AC-10001606,Logitech Wireless Performance Mouse MX for PC and Mac,West,1050,1,Consumer,01-06-2011,Second Class,California,Accessories,01-05-2011,0,37.9962,1,99.99,2011
Office Supplies,San Diego,United States,BP-11185,Ben Peterman,0.20,11-12-2014,CA-2014-167150,92037,OFF-BI-10001097,Avery Hole Reinforcements,West,1058,1,Corporate,18-12-2014,Standard Class,California,Binders,01-12-2014,0.2,7.2268,4,19.936,2014
Office Supplies,San Diego,United States,BP-11185,Ben Peterman,0.20,11-12-2014,CA-2014-167150,92037,OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",West,1059,1,Corporate,18-12-2014,Standard Class,California,Binders,01-12-2014,0.2,22.9488,2,65.568,2014
Furniture,San Francisco,United States,BD-11620,Brian DeCherney,0.20,02-10-2013,CA-2013-157686,94122,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",West,1068,1,Consumer,03-10-2013,First Class,California,Chairs,01-10-2013,0.2,12.178,4,194.848,2013
Office Supplies,Los Angeles,United States,SN-20560,Skye Norling,0.00,20-11-2012,CA-2012-144652,90008,OFF-AR-10003732,Newell 333,West,1071,1,Home Office,26-11-2012,Standard Class,California,Art,01-11-2012,0,5.0596,7,19.46,2012
Office Supplies,Denver,United States,EH-14005,Erica Hernandez,0.20,29-04-2013,CA-2013-152814,80219,OFF-PA-10001970,Xerox 1881,West,1072,1,Home Office,03-05-2013,Standard Class,Colorado,Paper,01-04-2013,0.2,9.9468,3,29.472,2013
Office Supplies,Mesa,United States,MS-17710,Maurice Satty,0.65,13-11-2013,CA-2013-134348,85204,OFF-BI-10003727,Avery Durable Slant Ring Binders With Label Holder,West,1074,1,Consumer,20-11-2013,Standard Class,Arizona,Binders,01-11-2013,0.7,-4.598,5,6.27,2013
Office Supplies,Mesa,United States,MS-17710,Maurice Satty,0.65,13-11-2013,CA-2013-134348,85204,OFF-BI-10004967,Round Ring Binders,West,1075,1,Consumer,20-11-2013,Standard Class,Arizona,Binders,01-11-2013,0.7,-3.3488,7,4.368,2013
Technology,Mesa,United States,MS-17710,Maurice Satty,0.20,13-11-2013,CA-2013-134348,85204,TEC-AC-10003447,Micropad Numeric Keypads,West,1076,1,Consumer,20-11-2013,Standard Class,Arizona,Accessories,01-11-2013,0.2,1.999,2,31.984,2013
Office Supplies,Seattle,United States,DW-13540,Don Weiss,0.00,24-09-2014,CA-2014-132521,98105,OFF-AP-10002191,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,West,1078,1,Consumer,26-09-2014,Second Class,Washington,Appliances,01-09-2014,0,33.5888,2,119.96,2014
Office Supplies,Seattle,United States,DW-13540,Don Weiss,0.00,24-09-2014,CA-2014-132521,98105,OFF-ST-10001325,Sterilite Officeware Hinged File Box,West,1079,1,Consumer,26-09-2014,Second Class,Washington,Storage,01-09-2014,0,8.4888,3,31.44,2014
Office Supplies,Seattle,United States,DW-13540,Don Weiss,0.20,24-09-2014,CA-2014-132521,98105,OFF-BI-10000404,Avery Printable Repositionable Plastic Tabs,West,1080,1,Consumer,26-09-2014,Second Class,Washington,Binders,01-09-2014,0.2,2.322,1,6.88,2014
Technology,Oakland,United States,CY-12745,Craig Yedwab,0.20,16-08-2013,CA-2013-166163,94601,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),West,1088,1,Corporate,21-08-2013,Second Class,California,Phones,01-08-2013,0.2,7.1976,3,71.976,2013
Office Supplies,Oakland,United States,CY-12745,Craig Yedwab,0.00,16-08-2013,CA-2013-166163,94601,OFF-LA-10000452,Avery 488,West,1089,1,Corporate,21-08-2013,Second Class,California,Labels,01-08-2013,0,1.512,1,3.15,2013
Office Supplies,San Diego,United States,NP-18325,Naresj Patel,0.00,06-12-2012,CA-2012-143490,92105,OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,West,1092,1,Consumer,13-12-2012,Standard Class,California,Art,01-12-2012,0,33.642,9,120.15,2012
Technology,San Diego,United States,NP-18325,Naresj Patel,0.20,06-12-2012,CA-2012-143490,92105,TEC-PH-10000576,AT&T 1080 Corded phone,West,1093,1,Consumer,13-12-2012,Standard Class,California,Phones,01-12-2012,0.2,19.1786,2,219.184,2012
Furniture,Los Angeles,United States,NS-18640,Noel Staavos,0.20,25-06-2011,CA-2011-159338,90049,FUR-TA-10004147,Hon 4060 Series Tables,West,1098,1,Corporate,28-06-2011,First Class,California,Tables,01-06-2011,0.2,11.196,5,447.84,2011
Office Supplies,San Francisco,United States,PV-18985,Paul Van Hugh,0.00,15-06-2013,CA-2013-107216,94122,OFF-AR-10001545,Newell 326,West,1099,1,Home Office,18-06-2013,First Class,California,Art,01-06-2013,0,2.0416,4,7.04,2013
Furniture,San Francisco,United States,PV-18985,Paul Van Hugh,0.00,15-06-2013,CA-2013-107216,94122,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",West,1100,1,Home Office,18-06-2013,First Class,California,Furnishings,01-06-2013,0,4.1031,3,8.73,2013
Technology,San Francisco,United States,PV-18985,Paul Van Hugh,0.00,15-06-2013,CA-2013-107216,94122,TEC-AC-10001013,Logitech ClearChat Comfort/USB Headset H390,West,1101,1,Home Office,18-06-2013,First Class,California,Accessories,01-06-2013,0,9.6657,1,29.29,2013
Office Supplies,San Francisco,United States,PV-18985,Paul Van Hugh,0.00,15-06-2013,CA-2013-107216,94122,OFF-AR-10002255,Newell 346,West,1102,1,Home Office,18-06-2013,First Class,California,Art,01-06-2013,0,2.5056,3,8.64,2013
Office Supplies,Riverside,United States,NM-18520,Neoma Murray,0.00,22-10-2013,CA-2013-112340,92503,OFF-PA-10001892,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",West,1105,1,Consumer,28-10-2013,Standard Class,California,Paper,01-10-2013,0,11.2308,3,22.92,2013
Office Supplies,Encinitas,United States,RA-19915,Russell Applegate,0.20,19-12-2014,CA-2014-140585,92024,OFF-BI-10003364,Binding Machine Supplies,West,1114,1,Consumer,24-12-2014,Second Class,California,Binders,01-12-2014,0.2,16.3352,2,46.672,2014
Furniture,Encinitas,United States,RA-19915,Russell Applegate,0.10,19-12-2014,CA-2014-140585,92024,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",West,1115,1,Consumer,24-12-2014,Second Class,California,Bookcases,01-12-2014,0.15,-12.6882,1,119.833,2014
Technology,Encinitas,United States,RA-19915,Russell Applegate,0.00,19-12-2014,CA-2014-140585,92024,TEC-AC-10003610,Logitech Illuminated - Keyboard,West,1116,1,Consumer,24-12-2014,Second Class,California,Accessories,01-12-2014,0,57.5904,2,119.98,2014
Office Supplies,San Francisco,United States,DL-13495,Dionis Lloyd,0.00,23-07-2013,CA-2013-144855,94110,OFF-LA-10003766,Self-Adhesive Removable Labels,West,1117,1,Corporate,25-07-2013,Second Class,California,Labels,01-07-2013,0,3.024,2,6.3,2013
Office Supplies,Antioch,United States,GG-14650,Greg Guthrie,0.00,07-12-2013,US-2013-114776,94509,OFF-PA-10004100,Xerox 216,West,1133,1,Corporate,08-12-2013,First Class,California,Paper,01-12-2013,0,9.3312,3,19.44,2013
Furniture,Los Angeles,United States,AP-10915,Arthur Prichep,0.00,29-09-2011,CA-2011-146969,90045,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,West,1142,1,Consumer,03-10-2011,Standard Class,California,Furnishings,01-09-2011,0,53.196,2,204.6,2011
Office Supplies,Los Angeles,United States,AP-10915,Arthur Prichep,0.00,29-09-2011,CA-2011-146969,90045,OFF-FA-10001561,Stockwell Push Pins,West,1143,1,Consumer,03-10-2011,Standard Class,California,Fasteners,01-09-2011,0,2.8776,4,8.72,2011
Office Supplies,Los Angeles,United States,AP-10915,Arthur Prichep,0.00,29-09-2011,CA-2011-146969,90045,OFF-PA-10002105,Xerox 223,West,1144,1,Consumer,03-10-2011,Standard Class,California,Paper,01-09-2011,0,3.1104,1,6.48,2011
Technology,Los Angeles,United States,AP-10915,Arthur Prichep,0.20,29-09-2011,CA-2011-146969,90045,TEC-MA-10004241,Star Micronics TSP800 TSP847IIU Receipt Printer,West,1145,1,Consumer,03-10-2011,Standard Class,California,Machines,01-09-2011,0.2,223.054,2,686.32,2011
Office Supplies,Los Angeles,United States,AP-10915,Arthur Prichep,0.00,29-09-2011,CA-2011-146969,90045,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",West,1146,1,Consumer,03-10-2011,Standard Class,California,Storage,01-09-2011,0,16.7886,1,62.18,2011
Office Supplies,Reno,United States,KL-16555,Kelly Lampkin,0.00,01-01-2014,CA-2014-160395,89502,OFF-AR-10003759,"Crayola Anti Dust Chalk, 12/Pack",West,1153,1,Corporate,07-01-2014,Standard Class,Nevada,Art,01-01-2014,0,1.638,2,3.64,2014
Office Supplies,Reno,United States,KL-16555,Kelly Lampkin,0.20,01-01-2014,CA-2014-160395,89502,OFF-BI-10003984,Lock-Up Easel 'Spel-Binder',West,1154,1,Corporate,07-01-2014,Standard Class,Nevada,Binders,01-01-2014,0.2,53.9217,7,159.768,2014
Furniture,Los Angeles,United States,GB-14530,George Bell,0.20,03-07-2013,CA-2013-149314,90004,FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,West,1159,1,Corporate,08-07-2013,Second Class,California,Chairs,01-07-2013,0.2,19.5184,1,195.184,2013
Office Supplies,Escondido,United States,LT-16765,Larry Tron,0.00,01-09-2011,CA-2011-126522,92025,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",West,1162,1,Consumer,05-09-2011,Second Class,California,Art,01-09-2011,0,15.6426,3,53.94,2011
Technology,Seattle,United States,KC-16540,Kelly Collister,0.00,02-11-2012,CA-2012-125416,98115,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,1167,1,Consumer,02-11-2012,Same Day,Washington,Accessories,01-11-2012,0,49.2723,9,447.93,2012
Office Supplies,Los Angeles,United States,AA-10375,Allen Armold,0.20,21-04-2011,CA-2011-158064,90008,OFF-BI-10002976,ACCOHIDE Binder by Acco,West,1173,1,Consumer,25-04-2011,Standard Class,California,Binders,01-04-2011,0.2,5.5755,5,16.52,2011
Office Supplies,Los Angeles,United States,AT-10435,Alyssa Tate,0.00,27-12-2011,CA-2011-120243,90004,OFF-LA-10004425,Staples,West,1177,1,Home Office,30-12-2011,Second Class,California,Labels,01-12-2011,0,5.4332,4,11.56,2011
Office Supplies,Seattle,United States,HR-14830,Harold Ryan,0.20,24-11-2011,CA-2011-127131,98103,OFF-BI-10004656,Peel & Stick Add-On Corner Pockets,West,1185,1,Corporate,30-11-2011,Standard Class,Washington,Binders,01-11-2011,0.2,4.2336,7,12.096,2011
Office Supplies,Seattle,United States,HR-14830,Harold Ryan,0.00,24-11-2011,CA-2011-127131,98103,OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",West,1186,1,Corporate,30-11-2011,Standard Class,Washington,Storage,01-11-2011,0,9.7176,6,485.88,2011
Office Supplies,Seattle,United States,HR-14830,Harold Ryan,0.00,24-11-2011,CA-2011-127131,98103,OFF-PA-10001800,Xerox 220,West,1187,1,Corporate,30-11-2011,Standard Class,Washington,Paper,01-11-2011,0,12.4416,4,25.92,2011
Office Supplies,Seattle,United States,HR-14830,Harold Ryan,0.00,24-11-2011,CA-2011-127131,98103,OFF-ST-10000036,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",West,1188,1,Corporate,30-11-2011,Standard Class,Washington,Storage,01-11-2011,0,53.3466,2,197.58,2011
Office Supplies,Los Angeles,United States,BT-11530,Bradley Talbott,0.00,27-02-2014,CA-2014-117212,90036,OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,West,1189,1,Home Office,01-03-2014,Second Class,California,Appliances,01-02-2014,0,22.1184,4,81.92,2014
Technology,Los Angeles,United States,BT-11530,Bradley Talbott,0.20,27-02-2014,CA-2014-117212,90036,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,West,1190,1,Home Office,01-03-2014,Second Class,California,Phones,01-02-2014,0.2,66.7152,8,889.536,2014
Furniture,Los Angeles,United States,BT-11530,Bradley Talbott,0.20,27-02-2014,CA-2014-117212,90036,FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,West,1191,1,Home Office,01-03-2014,Second Class,California,Chairs,01-02-2014,0.2,89.2224,3,892.224,2014
Office Supplies,Los Angeles,United States,BT-11530,Bradley Talbott,0.00,27-02-2014,CA-2014-117212,90036,OFF-PA-10001970,Xerox 1908,West,1192,1,Home Office,01-03-2014,Second Class,California,Paper,01-02-2014,0,109.7208,4,223.92,2014
Office Supplies,Los Angeles,United States,BT-11530,Bradley Talbott,0.00,27-02-2014,CA-2014-117212,90036,OFF-PA-10000682,Xerox 1924,West,1193,1,Home Office,01-03-2014,Second Class,California,Paper,01-02-2014,0,11.3288,4,23.12,2014
Furniture,Denver,United States,LS-16945,Linda Southworth,0.20,19-07-2013,CA-2013-114727,80219,FUR-CH-10002335,Hon GuestStacker Chair,West,1201,1,Corporate,25-07-2013,Standard Class,Colorado,Chairs,01-07-2013,0.2,40.8006,3,544.008,2013
Office Supplies,Denver,United States,LS-16945,Linda Southworth,0.65,19-07-2013,CA-2013-114727,80219,OFF-BI-10004967,Round Ring Binders,West,1202,1,Corporate,25-07-2013,Standard Class,Colorado,Binders,01-07-2013,0.7,-1.4352,3,1.872,2013
Furniture,Denver,United States,LS-16945,Linda Southworth,0.20,19-07-2013,CA-2013-114727,80219,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,West,1203,1,Corporate,25-07-2013,Standard Class,Colorado,Chairs,01-07-2013,0.2,10.6794,3,854.352,2013
Office Supplies,Denver,United States,LS-16945,Linda Southworth,0.20,19-07-2013,CA-2013-114727,80219,OFF-ST-10002292,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",West,1204,1,Corporate,25-07-2013,Standard Class,Colorado,Storage,01-07-2013,0.2,0,2,593.568,2013
Office Supplies,Denver,United States,LS-16945,Linda Southworth,0.20,19-07-2013,CA-2013-114727,80219,OFF-ST-10000689,"Fellowes Strictly Business Drawer File, Letter/Legal Size",West,1205,1,Corporate,25-07-2013,Standard Class,Colorado,Storage,01-07-2013,0.2,-33.804,3,338.04,2013
Office Supplies,Los Angeles,United States,BF-11170,Ben Ferrer,0.00,12-07-2011,CA-2011-110184,90036,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,1221,1,Home Office,16-07-2011,Standard Class,California,Storage,01-07-2011,0,44.955,9,249.75,2011
Technology,Los Angeles,United States,BF-11170,Ben Ferrer,0.20,12-07-2011,CA-2011-110184,90036,TEC-PH-10000439,GE DSL Phone Line Filter,West,1222,1,Home Office,16-07-2011,Standard Class,California,Phones,01-07-2011,0.2,28.7928,8,255.936,2011
Office Supplies,Los Angeles,United States,ZC-21910,Zuschuss Carroll,0.00,07-11-2014,CA-2014-100013,90045,OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",West,1229,1,Consumer,12-11-2014,Standard Class,California,Envelopes,01-11-2014,0,7.4872,2,15.28,2014
Furniture,Los Angeles,United States,ZC-21910,Zuschuss Carroll,0.00,07-11-2014,CA-2014-100013,90045,FUR-FU-10001424,Dax Clear Box Frame,West,1230,1,Consumer,12-11-2014,Standard Class,California,Furnishings,01-11-2014,0,2.9682,1,8.73,2014
Office Supplies,Los Angeles,United States,ZC-21910,Zuschuss Carroll,0.00,07-11-2014,CA-2014-100013,90045,OFF-AR-10001022,SANFORD Liquid Accent Tank-Style Highlighters,West,1231,1,Consumer,12-11-2014,Standard Class,California,Art,01-11-2014,0,1.7608,2,5.68,2014
Furniture,Seattle,United States,GM-14680,Greg Matthias,0.00,11-08-2011,CA-2011-127012,98105,FUR-FU-10003691,"Eldon Image Series Desk Accessories, Ebony",West,1239,1,Consumer,15-08-2011,Standard Class,Washington,Furnishings,01-08-2011,0,5.434,1,12.35,2011
Office Supplies,Seattle,United States,GM-14680,Greg Matthias,0.00,11-08-2011,CA-2011-127012,98105,OFF-AR-10003903,Sanford 52201 APSCO Electric Pencil Sharpener,West,1240,1,Consumer,15-08-2011,Standard Class,Washington,Art,01-08-2011,0,10.6522,1,40.97,2011
Office Supplies,Seattle,United States,GM-14680,Greg Matthias,0.00,11-08-2011,CA-2011-127012,98105,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",West,1241,1,Consumer,15-08-2011,Standard Class,Washington,Fasteners,01-08-2011,0,10.7912,2,22.96,2011
Furniture,Fresno,United States,NP-18700,Nora Preis,0.20,12-12-2011,CA-2011-168494,93727,FUR-TA-10004619,Hon Non-Folding Utility Tables,West,1246,1,Consumer,14-12-2011,Second Class,California,Tables,01-12-2011,0.2,95.586,6,764.688,2011
Furniture,Fresno,United States,NP-18700,Nora Preis,0.20,12-12-2011,CA-2011-168494,93727,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,West,1247,1,Consumer,14-12-2011,Second Class,California,Tables,01-12-2011,0.2,135.4068,12,3610.848,2011
Furniture,Fresno,United States,NP-18700,Nora Preis,0.10,12-12-2011,CA-2011-168494,93727,FUR-BO-10004467,Bestar Classic Bookcase,West,1248,1,Consumer,14-12-2011,Second Class,California,Bookcases,01-12-2011,0.15,11.9988,3,254.9745,2011
Office Supplies,San Francisco,United States,PF-19225,Phillip Flathmann,0.00,03-09-2014,CA-2014-110380,94122,OFF-AR-10000422,Pencil and Crayon Sharpener,West,1266,1,Consumer,08-09-2014,Standard Class,California,Art,01-09-2014,0,1.7739,3,6.57,2014
Office Supplies,Los Angeles,United States,JC-16105,Julie Creighton,0.00,24-12-2011,US-2011-167738,90045,OFF-ST-10003306,Letter Size Cart,West,1267,1,Corporate,29-12-2011,Standard Class,California,Storage,01-12-2011,0,41.4294,1,142.86,2011
Furniture,Los Angeles,United States,JC-16105,Julie Creighton,0.20,24-12-2011,US-2011-167738,90045,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",West,1268,1,Corporate,29-12-2011,Standard Class,California,Chairs,01-12-2011,0.2,18.267,6,292.272,2011
Furniture,Louisville,United States,BG-11695,Brooke Gillingham,0.20,24-09-2014,CA-2014-121412,80027,FUR-FU-10000246,Aluminum Document Frame,West,1269,1,Corporate,28-09-2014,Standard Class,Colorado,Furnishings,01-09-2014,0.2,3.666,3,29.328,2014
